Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
128630,The Time Traveler's Wife,Audrey Niffenegger,"Niffenegger, Audrey",,"=""""","=""""",5,Vintage,Paperback,522,2005,2003,,2019/08/10,,,read,,,,2,0
822603,"The Lion, the Witch and the Wardrobe (The Chronicles of Narnia, #2)",C.S. Lewis,"Lewis, C.S.",,"=""000711561X""","=""9780007115617""",5,HARPER COLLINS,Paperback,203,2002,1950,2019/01/12,2019/01/12,,,read,,,,1,0
12624987,India Unbound: From Independence to the Global Information Age,Gurcharan Das,"Das, Gurcharan",,"=""0143063014""","=""9780143063018""",4,Penguin Books India,Paperback,419,2007,2000,2017/01/01,2017/09/16,,,read,,,,1,0
16685141,Midnight's Children,Salman Rushdie,"Rushdie, Salman",,"=""0099582074""","=""9780099582076""",5,Vintage Publishing,Paperback,647,2013,1981,2019/01/22,2019/01/21,,,read,,,,1,0
2833659,Einstein,Walter Isaacson,"Isaacson, Walter",,"=""1847390544""","=""9781847390547""",5,Simon & Schuster UK Ltd,Paperback,675,2008,2007,2019/07/30,2019/07/29,,,read,,,,1,0
1052,The Richest Man in Babylon,George S. Clason,"Clason, George S.",,"=""0451205367""","=""9780451205360""",5,Berkley Books,Paperback,194,2002,1926,2019/07/15,2019/07/15,,,read,,,,1,0
25222064,"Old School (Diary of a Wimpy Kid, #10)",Jeff Kinney,"Kinney, Jeff",,"=""1419717014""","=""9781419717017""",4,Harry N. Abrams,Hardcover,224,2015,2015,2019/07/13,2019/07/13,,,read,,,,1,0
7856358,The Help,Kathryn Stockett,"Stockett, Kathryn",,"=""0141039280""","=""9780141039282""",5,Penguin Books,Paperback,444,2010,2009,,2019/06/10,,,read,,,,2,0
3437,The Curious Incident of the Dog in the Night-Time,Mark Haddon,"Haddon, Mark",,"=""0099450259""","=""9780099450252""",4,Vintage Books,Paperback,272,2004,2003,2019/05/23,2019/05/23,,,read,,,,1,0
34564809,"Ender's Game (The Ender Saga, 1)",Orson Scott Card,"Card, Orson Scott",,"=""0765394863""","=""9780765394866""",5,Tor Books,Hardcover,448,2017,1985,2019/04/20,2019/04/19,,,read,,,,1,0
